İstanbul;(42. Yarış Günü);17/07/2022
1. Kosu :   15:15;ŞARTLI 4/DHÖW/Y2; 4 Yaşlı Araplar; 58.00kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KIZILŞAHİN KG DB SK;4y k  a;GELİBOLU;AMANOS;55 +0.70;M.KAYİŞ;CÜNEYT ÇALICIOĞLU;H.ALTUNBAŞ;6;%55.15(1);67;2:10.13;1,30;Baş
2;DOBAR KG DB;4y a  a;BAYHAN;DÜRDANE;55 +0.40;A.ŞENBAHAR;İLKER YILMAZ;İ.DEMİR;2;%13.04(2);38;2:10.15;4,65;5 Boy
3;SİYAHTAY KG;4y k k;BERKSOY;GÖRÜCÜ;52 +0.20;H.YOLAÇICI;KADRİ FELHAN;Ö.GÜNELİ;8;%2.9(8);33;2:10.98;27,05;1 Boy
4;ERSARRAF KG SK;4y k  a;SARRAF;MÜJDEER;57;K.YILMAZ;ENİS BADIŞOĞLU;SEB.TOPAL;10 - DS;%3.32(7);40;2:11.14;21,80;2,5 Boy
5;SADEKAR KG DB SK;4y a  a;KAIZBERT (RU);REFİGÜL;54;Ç.TAŞCI;MEHMET ÇELİK;E.KOCA;7;%6.6(4);49;2:11.48;11,50;
6;EYVAH İNCE YUNUS KG K DB BB;4y a  a;UÇANOĞLU;TOMURCUK;54 +2.00;Ç.CANPOLAT;DİDEM ARTIK TUTAŞER;ŞÜK. ÇELİK;5;%4.36(6);38;2:15.27;16,60;
7;KEŞİFTAY K;4y k  a;ORÇUN;SEBİLE;54;B.ÇIĞLA;CEM H. KEÇİK;T.KURT;9;%8.76(3);44;2:19.93;8,15;
8;DİLSU KG SK;4y k k;TURBO;YELHANIM;53 +1.80;Z.KARABULUT;KEREM ERENSOY;E.ÇUKURKAŞ;1;%4.71(5);38;2:20.14;12,40;
9;YÜCEDAĞLIM KG K DB;4y d  a;BABA MEVLÜT;AYBETÜL;53 +2.00;ULAŞ KICI;EYLEM TANİYİT;OL. AKTÜRK;3;%0.56(10);15;2:21.84;76,35;
10;ŞAMAN BABA DB;4y a  a;YAKUPBEY;KATTARA;53;T.YILMAZ;İSMAİL YÜKSEL;A.KARAKUŞ;4;%0.61(9);26;Derecesiz;81,40;
GANYAN(2) :1,30 TL, İKİLİ(2/8) :3,95 TL, SIRALI İKİLİ(2/8) :5,10 TL

2. Kosu :   15:45;ŞARTLI 1/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Sentetik;;;;Rekor Derece :1.17.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)100.000 TL;2.)40.000 TL;3.)20.000 TL;4.)10.000 TL;5.)5.000 TL;1.)28.750 TL;2.)11.500 TL;3.)5.750 TL;4.)2.875 TL;5.)1.438 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LUSİA KG K;3y a  d;KAIZBERT (RU);DOST ELİ;57;Ö.YILDIRIM;ADNAN GELEN;M.SOYKUVVET;1;%17.4(3);;1:25.18;4,75;1 Boy
2;SARUCA KG SK;3y a  d;KAIZBERT (RU);ALISHBA;57;M.N.SUNKAR AP;HÜSEYİN BECENE;M.DEMİROL;6;%5.71(7);;1:25.36;23,00;4 Boy
